,Unnamed: 0.1,Unnamed: 0,time,leader,platoon compo,string compo,platoon DTW,ACC,run,duration,length,heavy in platoon,mean speed,Flow,Density,LC Density,CF DTW,difference
115,21,6,35.0,23.0,"[28, 27]","[28, 27]","[0.51, 0.69]","[False, False]",19.csv,60.0,2,0,25.16484348914858,0.7533509084122952,0.0276516671301782,0.0002411450734783,[0.33745465 0.57093284],[0.         0.11906716]
116,22,7,40.0,23.0,"[28, 27]","[28, 27]","[0.59, 0.89]","[False, False]",19.csv,65.0,2,0,25.718063174114025,0.6716918368071917,0.0239965797020256,0.0002272403380873,[1.39232661 0.4981447 ],[0.        0.3918553]
117,0,2,136.5,55.0,"[202, 111]","[202, 111]","[1.03, 1.28]","[False, False]",20.csv,161.5,2,0,22.865612922705317,0.532458114041238,0.0191783661845647,0.0001005023774901,[0.38769819 1.13648697],[0.         0.14351303]
118,1,13,114.0,50.0,"[54, 964]","[54, 964, 136]","[0.24, 1.1]","[True, False]",20.csv,139.0,2,0,25.894972222222226,0.4007208791052334,0.0143106940681462,7.492509983322634e-05,[0.48282296],[0]
119,2,14,119.0,50.0,"[54, 964, 136]","[54, 964, 136]","[0.19, 0.82, 0.73]","[True, False, False]",20.csv,144.0,3,0,25.65624589700057,0.4319192443954711,0.0154360845212833,7.95674459859965e-05,[0.16936779],[0]
120,3,15,124.0,50.0,"[54, 964, 136]","[54, 964, 136]","[0.11, 0.8, 0.76]","[True, False, False]",20.csv,149.0,3,0,25.635531539888685,0.4650926370276603,0.0167216634385715,9.540438835275989e-05,[0.16827918],[0]
121,4,16,129.0,50.0,"[54, 964, 136]","[54, 964, 136]","[0.11, 0.72, 0.74]","[True, False, False]",20.csv,154.0,3,0,25.64119734151329,0.5034061033933969,0.0181825195334649,9.943953805559192e-05,[0.137063],[0]
122,5,0,155.7,1103.0,"[1137, 1239]","[1137, 1239]","[0.42, 0.12]","[False, False]",20.csv,180.7,2,0,26.41555855855856,0.8029379021697194,0.0313422502485131,0.0001508652238195,[0.35215531],[0]
123,6,1,160.7,1103.0,"[1137, 1239]","[1137, 1239]","[0.42, 0.26]","[False, False]",20.csv,185.7,2,0,25.08118313953489,0.8620667755084239,0.034845100777357,0.00013139178272,[0.53981667],[0]
124,0,0,5.0,55.0,"[50, 54, 53, 49]","[50, 54, 53, 49, 14]","[1.13, 1.29, 1.3, 1.44]","[False, False, False, False]",21.csv,30.0,4,0,23.704540969899664,1.101583823269648,0.0617554465265863,0.0003854553060063,[0.68828918 0.36855943 0.45686773 1.06909337],[0.         0.92144057 0.84313227 0.37090663]
125,1,1,10.0,55.0,"[50, 54, 53, 49]","[50, 54, 53, 49, 14]","[1.07, 1.24, 1.32, 1.49]","[False, False, False, False]",21.csv,35.0,4,0,24.89558022922636,1.09609212865294,0.0562824057588934,0.000325102144811,[0.5457119  0.4785342  0.47691571 1.04939804],[0.         0.7614658  0.84308429 0.44060196]
126,2,2,15.0,55.0,"[50, 54, 53, 49]","[50, 54, 53, 49, 14]","[1.1, 1.33, 1.27, 1.37]","[False, False, False, False]",21.csv,40.0,4,0,25.70206150087957,0.9966479047786264,0.0490117907509193,0.0002315031577402,[0.59685921 1.23330807 0.61859503 1.12544868],[0.         0.09669193 0.65140497 0.24455132]
127,3,3,20.0,55.0,"[50, 54, 53, 49, 14]","[50, 54, 53, 49, 14]","[0.52, 0.56, 0.46, 0.76, 1.36]","[False, False, False, False, False]",21.csv,45.0,5,0,25.701782190186275,0.9885119509397418,0.0473769733011246,0.0002077664048639,[0.96201841 0.43612127 0.65776883 0.20593869 0.50294024],[0.         0.12387873 0.19776883 0.55406131 0.85705976]
128,4,4,25.0,55.0,"[50, 54, 53, 49, 14]","[50, 54, 53, 49, 14]","[0.44, 0.56, 0.48, 0.68, 1.41]","[False, False, False, False, False]",21.csv,50.0,5,0,25.90340989065994,0.901949959106595,0.0417900639139939,0.0001625060814823,[1.42959228 0.68724932 0.68281777 0.34163314 0.6396098 ],[0.         0.12724932 0.20281777 0.33836686 0.7703902 ]
129,5,0,6.6,86.0,"[122, 146]","[122, 146]","[0.32, 0.78]","[False, False]",21.csv,31.6,2,0,28.04262822128852,1.064433757042571,0.0653498827189829,0.0005132189742328,[0.25351513],[0]
130,6,1,11.6,86.0,"[122, 146]","[122, 146]","[0.58, 0.23]","[False, False]",21.csv,36.6,2,0,27.6049,1.0353440175123276,0.0557297371912523,0.0003015859748188,[0.56259269],[0]
131,7,2,16.6,86.0,"[122, 146]","[122, 146, 234]","[1.09, 1.44]","[False, False]",21.csv,41.6,2,0,27.340464457831327,1.0005804495190906,0.0498269944856972,0.0002359120992646,[0.89019563],[0]
132,8,3,21.6,86.0,"[122, 146]","[122, 146, 234]","[1.08, 1.13]","[False, False]",21.csv,46.6,2,0,27.07006827956989,0.9377411963061558,0.0446327128817321,0.0002169269155855,[0.97589088],[0]
133,9,0,30.0,29.0,"[50, 54, 53, 49]","[55, 50, 54, 53, 49]","[0.97, 0.8, 1.06, 1.23]","[False, False, False, False]",21.csv,55.0,4,0,26.279665573026648,1.3303750325758137,0.0627719308057025,0.0003052812508788,[0.6821655  0.63178482 0.14521025 0.4731775 ],[0.         0.16821518 0.91478975 0.7568225 ]
134,10,0,35.0,50.0,"[54, 53, 49]","[54, 53, 49]","[0.14, 0.52, 0.6]","[False, False, False]",21.csv,60.0,3,0,26.478770790391632,1.3792049690933434,0.0632837279748303,0.0002834869104442,[0.44083582 0.58061134 0.17675724],[0.         0.06061134 0.42324276]
135,11,1,40.0,50.0,"[54, 53, 49]","[54, 53, 49]","[0.18, 1.11, 1.4]","[False, False, False]",21.csv,65.0,3,0,26.708970839801516,1.400837253676942,0.0629345342720134,0.0001653995644468,[0.4238397  0.93469637 0.12898544],[0.         0.17530363 1.27101456]
136,12,0,45.0,54.0,"[53, 49]","[53, 49]","[0.92, 1.13]","[False, False]",21.csv,70.0,2,0,26.419867177314213,1.4671297501924592,0.0645859977061167,0.0003622321800679,[0.34900712 0.71063971],[0.         0.41936029]
137,13,0,5.0,30.0,"[47, 43]","[47, 43, 5]","[0.68, 0.95]","[False, False]",21.csv,30.0,2,0,21.45983444816053,1.0837185681618815,0.0590210564025402,0.0004048876860229,[0.34677154 0.63963072],[0.         0.31036928]
138,14,4,10.0,0.0,"[42, 6]","[42, 6]","[1.16, 1.11]","[False, False]",21.csv,35.0,2,0,18.46514541547278,1.1982748129031549,0.061394823262491,0.000236406712601,[1.15553002 0.80065933],[0.         0.30934067]
139,15,1,10.0,7.0,"[13, 11]","[13, 11, 17]","[1.19, 1.5]","[True, True]",21.csv,35.0,2,0,20.972139684813754,1.119047600715246,0.0606165900984703,0.0003682380748635,[0.16935498 1.20464469],[0.         0.29535531]
140,16,2,40.0,7.0,"[13, 11, 17]","[13, 11, 17, 93]","[0.33, 0.28, 0.17]","[True, True, True]",21.csv,65.0,3,0,23.52027118644068,0.6802739833979351,0.028194279715069,0.0001543989616027,[0.4851739  0.10904    0.28383337],[0.         0.17096    0.11383337]
