,Unnamed: 0,time,leader,platoon compo,string compo,platoon DTW,ACC,run,duration,length,heavy in platoon,mean speed,Flow,Density,LC Density
96,49,260.0,93.0,"[95, 98, 81, 73, 78]","[95, 98, 81, 73, 78]","[0.52, 0.58, 0.85, 1.07, 1.18]","[False, False, False, False, False]",8.csv,285.0,5,0,13.721354836937746,0.8575142849030154,0.061860025706378205,0.0002875255941159558
97,0,265.0,98.0,"[81, 73]","[81, 73, 78]","[0.83, 1.42]","[False, False]",8.csv,290.0,2,0,14.643543479289878,0.8631020891179538,0.060881240216714046,0.0002889170376748888
98,0,273.3,19.0,"[1961, 284]","[1961, 284]","[1.22, 0.48]","[False, False]",8.csv,298.3,2,0,14.89791183465006,0.8056087111702783,0.05550095330297598,0.00034440230518958395
99,1,278.3,19.0,"[1961, 284]","[1961, 284]","[0.67, 0.5]","[False, False]",8.csv,303.3,2,0,15.135740513131609,0.838727838878208,0.05716331903342605,0.0003841151553864915
100,2,283.3,19.0,"[1961, 284]","[1961, 284]","[0.23, 0.63]","[False, False]",8.csv,308.3,2,0,15.448364599213132,0.8750604115056202,0.059203652877550035,0.00041874254405799825
101,3,288.3,19.0,"[1961, 284]","[1961, 284]","[0.35, 0.32]","[False, False]",8.csv,313.3,2,0,15.709686996576966,0.9136046686698839,0.06149019290489257,0.00041608675930713456
102,4,293.3,19.0,"[1961, 284]","[1961, 284]","[0.46, 0.38]","[False, False]",8.csv,318.3,2,0,15.910162883179972,0.9547807461097354,0.06415304644958075,0.00042877320177503496
103,5,298.3,19.0,"[1961, 284]","[1961, 284]","[0.95, 0.64]","[False, False]",8.csv,323.3,2,0,16.04162179346207,0.9924997396440663,0.0671440291863704,0.0004632289493330492
104,6,303.3,19.0,"[1961, 284]","[1961, 284]","[0.94, 0.8]","[False, False]",8.csv,328.3,2,0,16.185680058250927,1.0339862730928742,0.07017072420256676,0.00048100026872239626
105,7,308.3,19.0,"[1961, 284]","[1961, 284]","[0.8, 0.82]","[False, False]",8.csv,333.3,2,0,16.312293325148513,1.0725075986968187,0.07289956272849374,0.0005285343090638767
106,8,313.3,19.0,"[1961, 284]","[1961, 284]","[0.96, 0.69]","[False, False]",8.csv,338.3,2,0,16.457673819483617,1.10528186358553,0.07494229812758028,0.000550021759425435
107,0,275.0,81.0,"[73, 78]","[73, 78]","[0.74, 0.71]","[False, False]",8.csv,300.0,2,0,15.767856286124314,0.9368961877445229,0.06367894152626469,0.00029338374349810963
108,1,280.0,81.0,"[73, 78]","[73, 78]","[1.5, 0.78]","[False, False]",8.csv,305.0,2,0,15.979354095285835,0.9544061564750083,0.06435953042524054,0.0003727745752982368
109,3,290.0,81.0,"[73, 78]","[73, 78]","[0.47, 1.21]","[False, False]",8.csv,315.0,2,0,16.211765623329647,0.9838435851800447,0.06707366711567166,0.0004341899735607952
110,4,295.0,81.0,"[73, 78]","[73, 78]","[0.38, 0.8]","[False, False]",8.csv,320.0,2,0,16.56936009748107,1.0029817315048288,0.06840586774729082,0.0005212868565234582
111,0,15.0,94.0,"[85, 91, 103]","[85, 91, 103]","[0.78, 0.89, 1.18]","[False, False, False]",8.csv,40.0,3,0,11.217157268170402,0.983874119847444,0.06939845394106929,0.00016495948167594314
112,1,20.0,94.0,"[85, 91, 103]","[85, 91, 103]","[0.6, 0.66, 1.06]","[False, False, False]",8.csv,45.0,3,0,10.058409428359274,0.9406939045327515,0.07646908256344932,0.00014645508662560524
113,0,15.0,82.0,"[83, 77, 68, 69, 75]","[83, 77, 68, 66, 69, 75, 52, 57, 64, 61]","[0.39, 0.72, 1.1, 1.38, 1.37]","[False, False, False, False, False]",8.csv,40.0,5,0,13.139779197994965,1.0839362509606136,0.07118953860934253,0.00024076548501536304
114,1,20.0,82.0,"[83, 77, 68, 66, 69, 75]","[83, 77, 68, 66, 69, 75]","[0.57, 0.81, 0.71, 1.01, 0.75, 0.84]","[False, False, False, False, False, False]",8.csv,45.0,6,0,11.86226531180398,0.9981894120649353,0.07137853980396294,0.0001679692665112671
115,2,25.0,82.0,"[83, 77, 68, 66, 69, 75]","[83, 77, 68, 66, 69, 75]","[0.47, 1.39, 0.73, 0.87, 1.28, 0.86]","[False, False, False, False, False, False]",8.csv,50.0,6,0,10.913023129592501,0.9265151244270821,0.074844797949338,7.26860230643275e-05
116,3,175.0,82.0,"[83, 77, 68, 66, 69]","[83, 77, 68, 66, 69]","[0.32, 0.23, 0.57, 0.84, 1.26]","[False, False, False, False, False]",8.csv,200.0,5,0,7.0430627495639175,0.6639314841080379,0.10341948244264121,0.0002353920164849007
117,0,20.0,52.0,"[57, 64, 61]","[57, 64, 61]","[1.0, 1.34, 1.14]","[False, False, False]",8.csv,45.0,3,0,12.721091685226483,0.9302895216568876,0.0621453760403293,0.00020495144133081373
118,2,30.0,52.0,"[57, 64, 61]","[57, 64, 61]","[0.96, 1.41, 1.24]","[False, False, False]",8.csv,55.0,3,0,10.894236794171283,0.8164231034826009,0.07032101863505784,9.307467391916243e-05
119,4,45.0,52.0,"[57, 64]","[57, 64, 61]","[0.58, 0.99]","[False, False]",8.csv,70.0,2,0,10.021848354792562,0.8858010221723561,0.08046540842222996,0.00023587094830269923
120,5,50.0,52.0,"[57, 64, 61]","[57, 64, 61]","[0.73, 0.77, 0.64]","[False, False, False]",8.csv,75.0,3,0,9.225605585224741,0.8697645418020252,0.08138791252892706,0.00021024048043073485
121,0,25.0,85.0,"[91, 103]","[91, 103]","[0.28, 0.55]","[False, False]",8.csv,50.0,2,0,9.697930861723428,0.9133993378008699,0.0848640838221687,0.00025120103746078555
122,1,30.0,85.0,"[91, 103, 82]","[91, 103, 82, 83, 77, 68, 66, 69, 75]","[0.24, 0.49, 1.42]","[False, False, False]",8.csv,55.0,3,0,10.194014571948976,0.9291554273965671,0.08662800735209573,0.0002918514884213751
123,2,35.0,85.0,"[91, 103, 82, 83, 77, 68, 66, 69, 75]","[91, 103, 82, 83, 77, 68, 66, 69, 75]","[0.29, 0.45, 0.64, 1.07, 1.22, 0.92, 0.94, 0.98, 1.35]","[False, False, False, False, False, False, False, False, False]",8.csv,60.0,9,0,10.251697041365219,0.9254314734294353,0.08373236128565713,0.00021241086069420897
124,3,40.0,85.0,"[91, 103, 82, 83, 77, 68, 66, 69, 75, 52, 57, 64, 61]","[91, 103, 82, 83, 77, 68, 66, 69, 75, 52, 57, 64, 61]","[0.39, 0.53, 0.71, 1.07, 1.15, 0.96, 0.87, 0.94, 1.29, 0.64, 0.59, 1.11, 1.11]","[False, False, False, False, False, False, False, False, False, False, False, False, False]",8.csv,65.0,13,0,10.008382541187622,0.8569948302758775,0.07708304708489873,0.00017618478805725264
